Групы;Код;Наименование;"Внешний код";Артикул;"Единица измерения";"Цена продажи";"Валюта (Цена продажи)";"Закупочная цена";"Валюта (Закупочная цена)";"Неснижаемый остаток";"Штрихкод EAN13";"Штрихкод EAN8";"Штрихкод Code128";Описание;"Минимальная цена";Страна;НДС;Поставщик;Архивный;Вес;Объем
Категории/Батончики;4225;"ProCore Protein Bar";4225;БАТ-021289;шт;0;руб;;;;;;;"Протеиновые батончики ProCore Protein Bar – эффективная альтернатива протеиновым коктейлям! Поддерживает правильный метаболизм, помогает утолить голод и насладиться вкусом!";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4226;"Napalm Pre Contest";4226;ПРЕД-021291;шт;0;руб;;;;;;;"Предтренировочный комплекс NapalmPreContest разработан для профессиональных спортсменов. Принимайте перед интенсивными силовыми или длительными тренировками. Препарат подходит для низкоуглеводной диеты и сушки тела.";;;;;нет;0;0
"Категории/Снижение веса";4227;"Lipo Core";4227;ЖЖ-021292;шт;0;руб;;;;;;;"Пищевая добавка LIPOCORE –жиросжигатель, усиливает термогенезис и стимулирует организм. Подходит для диетического питания, периода сушки, физической активности.";;;;;нет;0;0
Категории/Креатин;4228;CREACORE;4228;КР-021293;шт;0;руб;;;;;;;"Креатиновый комплекс CREACORE на основе трех форм креатина, аминокислот и растительных компонентов – это продукт для силы, выносливости и мышечного роста. ";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4229;"Pump Core";4229;ПРЕД-021294;шт;0;руб;;;;;;;"Предтренировочный комплекс PumpCore– пищевая добавка, увеличит мышечный пампинг и аэробную производительность. Разработана для кардиотренировок.";;;;;нет;0;0
Категории/Аминокислоты;4230;"Amino BCAA EAA";4230;АМ-021228;шт;0;руб;;;;;;;"Amino BCAA + EAA- великолепный комплекс аминокислот, столь нужный спортсмену для укрепления своих физических данных, восстановления после тренинга и формированию структурного рельефа мышц!";;;;;нет;0;0
Категории/BCAA;4231;"BCAA Glutamine";4231;BCAA-021229;шт;0;руб;;;;;;;"BCAA + Glutamine- мощная аминокислотная пищевая добавка для спортсменов, дающая непревзойденные результаты при процессе формирования рельефной мышечной ткани!";;;;;нет;0;0
Категории/Аминокислоты;4232;Amino-2000;4232;АМ-021271;шт;0;руб;;;;;;;"FITMAX Amino 2000 - препарат для спортсменов действия разной направленности, содержащий идеальное количество аминокислот в белке. Продукт создан на основании 2 белков (белок куриного яйца и сывороточный белок).";;;;;нет;0;0
"Категории/Для суставов и связок";4233;Cissus;4233;CC-021272;шт;0;руб;;;;;;;"FM Cissus - капсулы, наполненные экстрактом древнего растения далекой Индии, которое обладает свойствами сращивания костей и хрящей при переломах, так же является хорошим болеутоляющим средством.";;;;;нет;0;0
"Категории/Снижение веса";4234;FireFit;4234;ЖЖ-021273;шт;0;руб;;;;;;;"FM FireFit - комплекс наиболее активных жиросжигающих компонентов, которые стимулируют процессы переработки жиров. Помогает женщинам избавиться от воды, накапливающейся под кожей лица и тела.";;;;;нет;0;0
